player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
553993,Eugenio Suárez,CIN,0,0,0.0,0
624428,Adam Frazier,LAA,0,0,0.0,0
681807,David Fry,CLE,0,0,0.0,0
679529,Spencer Torkelson,DET,0,1,0.0,0
624431,Jose Trevino,CIN,0,0,0.0,0
542303,Marcell Ozuna,PIT,0,0,0.0,0
543510,James McCann,AZ,0,0,0.0,0
663609,Luken Baker,AZ,0,0,0.0,0
691373,Jhostynxon Garcia,PIT,0,0,0.0,0
606992,Eric Haase,SF,0,0,0.0,0
694876,Cooper Ingle,CLE,0,0,0.0,0
805347,Jim Jarvis,ATL,0,0,0.0,0
682641,Luis Matos,MIL,0,0,0.0,0
677595,Ronny Mauricio,NYM,0,0,0.0,0
695681,Christian Moore,LAA,0,1,0.0,0
521692,Salvador Perez,KC,0,0,0.0,0
642133,Rowdy Tellez,ATL,0,0,0.0,0
669717,Will Wilson,SEA,0,0,0.0,0
518595,Travis d'Arnaud,LAA,0,0,0.0,0
694377,Nick Yorke,PIT,0,0,0.0,0
672386,Alejandro Kirk,TOR,0,0,0.0,0
672820,Lenyn Sosa,TOR,0,0,0.0,0
669357,Nolan Gorman,STL,0,1,0.0,0
683748,Victor Mesa Jr.,TB,0,2,0.0,0
457705,Andrew McCutchen,TEX,0,0,0.0,0
669004,MJ Melendez,NYM,0,1,0.0,0
701305,Zach Dezenzo,HOU,0,0,0.0,0
641555,J.C. Escarra,NYY,0,0,0.0,0
686452,Drew Millas,WSH,0,0,0.0,0
641598,Mitch Garver,SEA,0,0,0.0,0
621438,Tyrone Taylor,NYM,0,1,0.0,0
680728,Adrian Del Castillo,AZ,0,0,0.0,0
692216,CJ Kayfus,CLE,0,0,0.0,0
678489,Jorge Barrosa,AZ,0,0,0.0,0
593871,Jorge Polanco,NYM,0,0,0.0,0
682877,Juan Brito,CLE,0,0,0.0,0
666464,Jerar Encarnacion,SF,0,0,0.0,0
694410,LuJames Groover,AZ,0,0,0.0,0
669087,Sam Huff,BAL,0,0,0.0,0
656555,Rhys Hoskins,CLE,0,0,0.0,0
624512,Reese McGuire,CWS,0,0,0.0,0
