player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
609280,Miguel Andujar,SD,27.3,4.46,nan,124
628451,Andy Ibáñez,NYM,27.3,nan,nan,9
702176,Alan Roden,MIN,27.3,4.45,nan,17
677587,Brayan Rocchio,CLE,27.3,4.5,nan,160
687221,Dalton Rushing,LAD,27.3,4.45,nan,66
687282,Gabriel Rincones Jr.,PHI,27.3,4.45,nan,28
665877,José Fermín,STL,27.3,4.43,nan,85
696100,Hunter Goodman,COL,27.3,4.55,nan,97
666023,Freddy Fermin,SD,27.3,4.56,nan,54
681351,Logan O'Hoppe,LAA,27.3,4.53,nan,76
669720,Austin Hays,CWS,27.3,4.5,nan,19
676439,Hunter Feduccia,TB,27.3,4.49,nan,49
805367,Chase Meidroth,CWS,27.3,4.44,nan,179
575929,Willson Contreras,BOS,27.2,4.59,nan,117
547180,Bryce Harper,PHI,27.2,4.48,nan,150
695578,James Wood,WSH,27.2,4.28,4.0,150
670097,Zack Short,NYM,27.2,nan,nan,10
669384,Raynel Delgado,HOU,27.2,4.42,nan,16
545341,Randal Grichuk,CWS,27.2,4.59,nan,57
682818,Yohendrick Piñango,TOR,27.2,4.49,nan,63
592206,Nick Castellanos,SD,27.2,4.46,nan,31
677060,Chad Stevens,COL,27.2,nan,nan,7
669004,MJ Melendez,NYM,27.2,nan,nan,29
