Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
MIL,642239,Rob Zastryzny,P,Left trapezius strain.,,🟡,Injured 60-Day
MIN,607455,Anthony Banda,P,Left lat strain.,,🟡,Injured 60-Day
MIN,668885,Austin Martin,RF,Left hamstring strain.,,🟡,Injured 10-Day
MIN,663485,Cole Sands,P,Right elbow strain.,,🟡,Injured 60-Day
MIN,701581,David Festa,P,Right shoulder impingement.,,⚪,Injured 60-Day
MIN,657746,Joe Ryan,P,Left glute strain.,,🟡,Injured 15-Day
MIN,690953,Mick Abel,P,Right elbow inflammation.,,🟡,Injured 60-Day
MIN,702474,Mike Paredes,P,Left oblique strain.,,🟡,Injured 60-Day
MIN,641154,Pablo López,P,Tommy John surgery.,,🔴,Injured 60-Day
NYM,672335,Cionel Pérez,P,Left forearm strain.,,🟡,Injured 15-Day
NYM,642207,Devin Williams,P,Right shoulder strain.,,🟡,Injured 15-Day
NYM,593871,Jorge Polanco,DH,Injured 60-Day,,⚪,Injured 60-Day
NYM,665742,Juan Soto,LF,Left calf strain,,🟡,Injured 10-Day
NYM,663795,Justin Hagenman,P,Rib Fracture,,🔴,Injured 60-Day
NYM,668901,Mark Vientos,1B,Right hand fracture.,,🔴,Injured 10-Day
NYM,657585,Reed Garrett,P,Injured 60-Day,,⚪,Injured 60-Day
NYM,656731,Tylor Megill,P,Right elbow sprain.,,🟡,Injured 60-Day
NYY,592450,Aaron Judge,RF,Right rib stress fracture.,,🔴,Injured 60-Day
NYY,657376,Clarke Schmidt,P,Right forearm tightness.,,🟢,Injured 60-Day
NYY,518585,Fernando Cruz,P,Right elbow discomfort.,,⚪,Injured 15-Day
NYY,519317,Giancarlo Stanton,DH,Right calf strain.,,🟡,Injured 60-Day
NYY,665645,Kervin Castro,P,Right elbow neuritis.,,⚪,Injured 60-Day
NYY,608331,Max Fried,P,Left elbow bone bruise.,,🟢,Injured 15-Day
NYY,641857,Ryan McMahon,3B,Left thumb sprain.,,🟡,Injured 10-Day
NYY,677960,Ryan Weathers,P,Left forearm flexor strain.,,🟡,Injured 15-Day
PHI,666969,Adolis García,RF,Right latissimus dorsi tear,,🔴,Injured 60-Day
PHI,641745,Brad Keller,P,Right elbow UCL tear.,,🔴,Injured 60-Day
PHI,668873,Caleb Kilian,P,Left oblique strain.,,🟡,Injured 15-Day
PHI,694025,Felix Reyes,LF,Right wrist fracture,,🔴,Injured 60-Day
PHI,679032,Johan Rojas,CF,Right elbow UCL repair.,,⚪,Injured 60-Day
